"","x"
"291","002393.SZ"
"292","002399.SZ"
"293","002405.SZ"
"294","002408.SZ"
"295","002410.SZ"
"296","002414.SZ"
"297","002415.SZ"
"298","002422.SZ"
"299","002424.SZ"
"300","002428.SZ"
"301","002429.SZ"
"302","002431.SZ"
"303","002437.SZ"
"304","002440.SZ"
"305","002444.SZ"
"306","002449.SZ"
"307","002450.SZ"
"308","002461.SZ"
"309","002463.SZ"
"310","002465.SZ"
"311","002470.SZ"
"312","002475.SZ"
"313","002477.SZ"
"314","002479.SZ"
"315","002480.SZ"
"316","002482.SZ"
"317","002489.SZ"
"318","002493.SZ"
"319","002498.SZ"
"320","002500.SZ"
"321","002506.SZ"
"322","002534.SZ"
"323","002570.SZ"
"324","002574.SZ"
"325","002585.SZ"
"326","002594.SZ"
"327","002601.SZ"
"328","002603.SZ"
"329","002612.SZ"
"330","002646.SZ"
"331","002648.SZ"
"332","002651.SZ"
"333","002653.SZ"
"334","600000.SH"
"335","600004.SH"
"336","600005.SH"
"337","600008.SH"
"338","600009.SH"
"339","600010.SH"
"340","600011.SH"
"341","600015.SH"
"342","600016.SH"
"343","600017.SH"
"344","600019.SH"
"345","600021.SH"
"346","600022.SH"
"347","600028.SH"
"348","600029.SH"
"349","600030.SH"
"350","600031.SH"
"351","600033.SH"
"352","600036.SH"
"353","600037.SH"
"354","600038.SH"
"355","600048.SH"
"356","600050.SH"
"357","600054.SH"
"358","600056.SH"
"359","600058.SH"
"360","600059.SH"
"361","600061.SH"
"362","600062.SH"
"363","600063.SH"
"364","600064.SH"
"365","600066.SH"
"366","600067.SH"
"367","600068.SH"
"368","600069.SH"
"369","600072.SH"
"370","600073.SH"
"371","600075.SH"
"372","600078.SH"
"373","600079.SH"
"374","600085.SH"
"375","600086.SH"
"376","600088.SH"
"377","600089.SH"
"378","600096.SH"
"379","600100.SH"
"380","600103.SH"
"381","600104.SH"
"382","600106.SH"
"383","600107.SH"
"384","600108.SH"
"385","600109.SH"
"386","600110.SH"
"387","600111.SH"
"388","600112.SH"
"389","600115.SH"
"390","600117.SH"
"391","600118.SH"
"392","600121.SH"
"393","600122.SH"
"394","600123.SH"
"395","600125.SH"
"396","600127.SH"
"397","600132.SH"
"398","600138.SH"
"399","600139.SH"
"400","600141.SH"
"401","600143.SH"
"402","600150.SH"
"403","600151.SH"
"404","600153.SH"
"405","600157.SH"
"406","600158.SH"
"407","600160.SH"
"408","600161.SH"
"409","600162.SH"
"410","600163.SH"
"411","600166.SH"
"412","600169.SH"
"413","600170.SH"
"414","600171.SH"
"415","600176.SH"
"416","600177.SH"
"417","600178.SH"
"418","600183.SH"
"419","600184.SH"
"420","600188.SH"
"421","600195.SH"
"422","600196.SH"
"423","600197.SH"
"424","600198.SH"
"425","600199.SH"
"426","600200.SH"
"427","600208.SH"
"428","600210.SH"
"429","600216.SH"
"430","600219.SH"
"431","600220.SH"
"432","600221.SH"
"433","600223.SH"
"434","600226.SH"
"435","600227.SH"
"436","600231.SH"
"437","600236.SH"
"438","600239.SH"
"439","600240.SH"
"440","600246.SH"
"441","600251.SH"
"442","600252.SH"
