"","x"
"1",0.0039385077146757
"2",0.0030412171401808
"3",0.000371590345032197
"4",0.000438232521404416
"5",0.000571242582765736
"6",0.000404968726328956
"7",0.000709038475586235
"8",9.98155728188251e-05
"9",0.000278462568858399
"10",0.000499235276122219
"11",0.000740263440267214
"12",0.000131825896576007
"13",0.00125441427159905
"14",0.000311514543447786
"15",0.000440251544584559
"16",0.000609032737820358
"17",0.000467094667357433
"18",0.00113543274383421
"19",0.000364323343436363
"20",0.00200145975270145
"21",0.000207131784556903
"22",0.000534596604824529
"23",0.00015208582356781
"24",0.000166822772534536
"25",0.00336484529449871
"26",0.00212108787563785
"27",0.000349968450751295
"28",0.00013243509062922
"29",0.000335323379348421
"30",0.0011006324219981
"31",0.000277545235270958
"32",0.000370909882992305
"33",0.000822712274915403
"34",0.000210698247182798
"35",0.000976765126349459
"36",0.00021466555734543
"37",0.000174094228826824
"38",0.000247140611584885
"39",0.000180021466976789
"40",0.000649990758433626
"41",0.000164310842311493
"42",0.000197886622757738
"43",0.000533001641551775
"44",0.000145615942889143
"45",0.000247403613736639
"46",0.000255715034935787
"47",0.000167679314544204
"48",0.000317871111226075
"49",0.000108916812745186
"50",0.000232250588579197
"51",0.000292128196633625
"52",0.000283388559755519
"53",0.000129108490175997
"54",0.000139621276533488
"55",0.00093155224139423
"56",0.000309726405885646
"57",0.000190149257624581
"58",0.000286648518951716
"59",0.00144515703495016
"60",0.00118515561451115
"61",0.000350158537801715
"62",0.000289889455680214
"63",0.000237602344576769
"64",0.000132339860207143
"65",0.000631513102259016
"66",0.00109341777739876
"67",0.000334340975924001
"68",0.000385974365552667
"69",0.000224073653851238
"70",0.000452691303424131
"71",0.000280813503533012
"72",0.000130650287208092
"73",0.000821965979761637
"74",0.000297425215520996
"75",0.00020641597616318
"76",0.000331086724376449
"77",0.000393676484248874
"78",7.91460612058291e-05
"79",0.000522069951053038
"80",0.000246196967102447
"81",0.00128347393781292
"82",0.000372579830444078
"83",0.00236435442070518
"84",0.00105263879187274
"85",0.000402891746402896
"86",0.000222220085044776
"87",0.000340856966454407
"88",0.00165584867826016
"89",0.000406156302876662
"90",0.00016386925428558
"91",0.00113834233994321
"92",0.000353893626818217
"93",0.000704535768933219
"94",0.000341530658093367
"95",0.000269242468855583
"96",0.000445605026969684
"97",0.000385802968464179
"98",0.000538716051789257
"99",0.000475255473353718
"100",0.000181922637782141
"101",0.000317528590375445
"102",0.000123701085154645
"103",0.00292280491486061
"104",0.000246626793287395
"105",8.22665419402969e-05
"106",0.000665981636739817
"107",0.000731113658627822
"108",0.00967599148623956
"109",0.000263075505608999
"110",0.00054062464809796
"111",0.000775811740429907
"112",0.000279981413634038
"113",0.000242259076818774
"114",0.000315341628111728
"115",0.000773560713278343
"116",0.000129166549866579
"117",0.000271038775379745
"118",0.000187453290965147
"119",0.000131013568749857
"120",0.000762078187066608
"121",0.00209772813831969
"122",0.000105536887780761
"123",0.00100283170915602
"124",0.000279190977789336
"125",0.00130537901305163
"126",0.000389202841297283
"127",0.000437792616551317
"128",0.000564607089718098
"129",8.94377147137768e-05
"130",0.000447974448744682
"131",0.000522598774223723
"132",0.000390530036410553
"133",0.000246376843087966
"134",0.000147801565495937
"135",0.00156790996394852
"136",0.000232930582964042
"137",0.000260637477544969
"138",0.000403207495860065
"139",0.000190852504567034
"140",0.000431577769446652
"141",0.000207194185814908
"142",0.000259746735610704
"143",0.00012664982225695
"144",0.00104485167363758
"145",0.000157056674117009
"146",0.000619281798936155
"147",0.000188676102939677
"148",0.000573659781875858
"149",0.000242250615262688
"150",0.000389868185334949
"151",0.000272178072255386
"152",0.000307042945076352
"153",0.000112703765229342
"154",0.000908574117200209
"155",0.000445159224268037
"156",0.00199140341445992
"157",0.000278524653850572
"158",0.000219931085624639
"159",8.92042882342457e-05
"160",0.000161023073742328
"161",0.000390186801278083
"162",0.000496609334956891
"163",0.00013872757122416
"164",8.92050933496145e-05
"165",0.000196078113437118
"166",0.000439076621973172
"167",0.00026545716596336
"168",0.000185753724075905
"169",0.000830067070695091
"170",0.000523118549824435
"171",0.000210139331689789
"172",0.000243877809299237
"173",0.000972619786323967
"174",0.000414886924389409
"175",0.00028275137108399
"176",0.000115448176437458
"177",0.00145592097711573
"178",0.00031687700156182
"179",0.000321451387704925
"180",0.000121340559560406
"181",0.000119476365708354
"182",0.000141410463360512
"183",0.000237487384561736
"184",0.00026628624376747
"185",0.000298806455482877
"186",0.00126900160811002
"187",0.000867377623892007
"188",9.8804338006611e-05
"189",0.000245282631021455
"190",0.000257803720826429
"191",0.000274179630349971
"192",0.000269445276728829
"193",0.000315172229360873
"194",0.000299728349463969
"195",0.000384363453288524
"196",0.000125284208965056
"197",0.000160005958422512
"198",0.000290660395346603
"199",0.000232156037757067
"200",0.000141086268311939
"201",0.00203220564373545
"202",0.000118083587411041
"203",0.00017202786128471
"204",0.000208000523307462
"205",0.000188520860181402
"206",0.000242222743407263
"207",0.000145897130463865
"208",0.000212885835096851
"209",0.000113101505984141
"210",0.000164205343571867
"211",0.000461544427437839
"212",0.000430630447032058
"213",0.000195735848296634
"214",0.000225318969694897
"215",0.000433872007208867
"216",0.000698216757240789
"217",0.000485052638214353
"218",0.000249929832073759
"219",9.90911223029711e-05
"220",0.000382667640301299
"221",0.000207905560981921
"222",0.000194278098427704
"223",9.86507173149579e-05
"224",0.000147177841931663
"225",0.000131046082473857
"226",0.000327000703599805
"227",0.00013872757122416
"228",0.000449867769881628
"229",0.000632052767374747
"230",0.000122772395999841
"231",0.00107343047843548
"232",0.00105259123143707
"233",0.000246815277538911
"234",0.000322601811963095
"235",0.000311549104504473
"236",0.0002036205305498
"237",0.000208395447672363
"238",0.000165844100166123
"239",0.00031958488200194
"240",0.000285598192141247
"241",9.50141782731297e-05
"242",0.000362095476082107
"243",0.000153007702960488
"244",0.000752966188321644
"245",0.000265807811185007
"246",0.000170153509216356
"247",0.000160958950776073
"248",0.000244992591031221
"249",0.000353823428740406
"250",0.00011245423589193
"251",0.000246256844564617
"252",0.000250590438179514
"253",0.000141606994086413
"254",0.000420155162810814
"255",0.000211326957232549
"256",0.000474212319088986
"257",0.000229867545353174
"258",0.00037933455598564
"259",0.000168133852678789
"260",0.000258552268926961
"261",0.000155827010541878
"262",5.77727623285103e-05
"263",0.000153979832011791
"264",0.000397932394277428
"265",0.000347886999338341
"266",0.000193176904290613
"267",0.000287919164963513
"268",0.000305778688239918
"269",0.000414803145047527
"270",0.000220202494006602
"271",0.000229999181853584
"272",0.00015642422943296
"273",0.00027765110807957
"274",0.000423164028406132
"275",3.23422413072197e-05
"276",0.000117224797684415
"277",0.000219845457958073
"278",0.000140957121475976
"279",0.000330576851832398
"280",0.000264242992807923
"281",0.000308283491609243
"282",0.000232619492441141
"283",0.000263652297415725
"284",5.8932460965221e-05
"285",0.000254379967858609
"286",5.43153365458134e-05
"287",0.00023324681356366
"288",0.000687437606514713
"289",0.000184881960568839
"290",0.000329907220727427
"291",5.02213053529434e-05
"292",0.000220257544630104
"293",0.000190364150485951
"294",0.000217503840876741
"295",0.000310592319713459
"296",0.000165151870504952
"297",0.0011200401746967
"298",0.000396364489211884
"299",0.000129479066475882
"300",0.00017977331610699
"301",0.000440897074251308
"302",0.000151609031769181
"303",0.000201455072986395
"304",0.00021111914112883
"305",0.000279106661153369
"306",0.000130952130052004
"307",0.000395140554755141
"308",0.000187216647051925
"309",0.000460817693972628
"310",0.000295312416080995
"311",0.000430178191846829
"312",0.000343487768039284
"313",0.000287654154014507
"314",0.000219197820127697
"315",0.000177639628258408
"316",0.000148167156686611
"317",0.000171108072989966
"318",0.000306081466669177
"319",0.000295390635585157
"320",0.000693286950509702
"321",0.000694606747094427
"322",0.000110244378624405
"323",0.000281451817714539
"324",0.000145333646044358
"325",0.000197446669735344
"326",0.000681526718950434
"327",5.62683983441306e-05
"328",0.000310073187379282
"329",5.50506235016506e-05
"330",0.000123863902878714
"331",0.000221602706615367
"332",0.000110376500120809
"333",0.00029734768525064
"334",0.00513442615932983
"335",0.000316541085134491
"336",0.00277834436372265
"337",0.000663444532967658
"338",0.000530401320120865
"339",0.00896244453441971
"340",0.00396925549752439
"341",0.00294123706343731
"342",0.0100427059873638
"343",0.000846583321048379
"344",0.00453322298184858
"345",0.000588969901144043
"346",0.00231774762120776
"347",0.0333252278955568
"348",0.00270231592309615
"349",0.00333521681166194
"350",0.00209646648069844
"351",0.000755404655689649
"352",0.00694184112475205
"353",0.000321592537503583
"354",0.000162255303777527
"355",0.00295971057787826
"356",0.00583442923828795
"357",0.000137131103142612
"358",0.000278697469868881
"359",0.000295046764893238
"360",0.000222548796997007
"361",0.0010168267755517
"362",0.000157361091953836
"363",0.000453037645063286
"364",0.000213136264236704
"365",0.000609393673104549
"366",0.000408174148523969
"367",0.00126747933808459
"368",0.000343819483003027
"369",0.000131689235054683
"370",0.000258112960547368
"371",0.00012072381531418
"372",0.000182375245566612
"373",0.000353989013584065
"374",0.000377501465185361
"375",0.000123863902878714
"376",9.12249387108202e-05
"377",0.000894312156023181
"378",0.000310782285102001
"379",0.000815822426242191
"380",0.000292275210699951
"381",0.00303482158692721
"382",0.000249858815393177
"383",9.90911223029711e-05
"384",0.000535894456579208
"385",0.000832464328542609
"386",0.000316626990806706
"387",0.00100001274261324
"388",0.00014016022131181
"389",0.00348863201585277
"390",0.000204022909870135
"391",0.000325483820828387
"392",0.00027947642655757
"393",0.000315535957087942
"394",0.000314449161441428
"395",0.000359348965793717
"396",0.000176652831518979
"397",0.000133214581033704
"398",0.000199239216577174
"399",0.000182187425776121
"400",0.000145879179556553
"401",0.000704647980821128
"402",0.000379331165142485
"403",0.000344115914095397
"404",0.000780397784643551
"405",0.00308135943496818
"406",0.000232240791770239
"407",0.000498460261058173
"408",0.000141883862389215
"409",0.000211342817041926
"410",0.000275105920398603
"411",0.000917987215880923
"412",0.000667201170449717
"413",0.00163588824675368
"414",0.000185467690119543
"415",0.000240193990304668
"416",0.000612881810529085
"417",0.000127188960538214
"418",0.000391690220593763
"419",0.000115265222846831
"420",0.00135380493315259
"421",0.000118303789905047
"422",0.000636214650938361
"423",0.00012138662482114
"424",0.000242803106898442
"425",0.000152978801933656
"426",0.000173024109665688
"427",0.00224004619461032
"428",0.00041748635592699
"429",0.000257666645324416
"430",0.000780393334075894
"431",0.000490869984309684
"432",0.00335318351574977
"433",0.000275519562526001
"434",0.000111628694815128
"435",0.000261598505638043
"436",0.000221304112033494
"437",0.00062770083804868
"438",0.000294646884871209
"439",0.000392030243522352
"440",0.000334927993384042
"441",0.000216030209453437
"442",0.00031884469196232
"443",0.00143721342210554
"444",6.36935713914097e-05
"445",7.21500754810122e-05
"446",0.000399695858425368
"447",0.000431332645260133
"448",0.000265765649563986
"449",0.000174853561344501
"450",0.00064282806125414
"451",0.000249236666276735
"452",0.000254168728707121
"453",0.00053853247832861
"454",0.000575166024187512
"455",0.00019076142055792
"456",0.000120229481083866
"457",0.000120230561727605
"458",0.00015617275157873
"459",0.000145026369428652
"460",0.000214922283175599
"461",9.48254146396987e-05
"462",0.000284061217268517
"463",9.07323394009057e-05
"464",0.000460223212473799
"465",0.00172400865702446
"466",0.00032137492046211
"467",0.000595189372776335
"468",0.000183208475013493
"469",0.000313096450088912
"470",0.000185071033311521
"471",0.000197388005038409
"472",0.0012084422710256
"473",0.000304347372028875
"474",0.000224894354051463
"475",0.000150618505900516
"476",9.88483573109223e-05
"477",0.00021163471113716
"478",0.000228589853412074
"479",0.00055931433477677
"480",0.000355373588512717
"481",0.000145779503246122
"482",0.00017790611428887
"483",0.000159138880274011
"484",0.000728253531284359
"485",0.000661983747607348
"486",0.000190475157315711
"487",0.000895489736753923
"488",0.000203158820970491
"489",0.000953127063813748
"490",0.000147254293485051
"491",0.000776916942527642
"492",0.000484215082889478
"493",0.00037928228762065
"494",0.000617120930117472
"495",0.000435967712879765
"496",0.00123853164483891
"497",0.000110982056979328
"498",0.000106275228669936
"499",0.000294259345272198
"500",0.000455558184378086
"501",0.000668576982144868
"502",0.000277124838707309
"503",0.000509324373888777
"504",0.00017663694335853
"505",0.00149826167120912
"506",0.000204624592265772
"507",0.000402759450671269
"508",0.000379516269560972
"509",0.000262488254183808
"510",0.000465300639653831
"511",0.000412207350154135
"512",0.000441430007501544
"513",0.000204969986483696
"514",0.000110709961840837
"515",0.000224911973554021
"516",0.000259652101111626
"517",0.000131620822543845
"518",0.000118431975281871
"519",0.000182058492811831
"520",0.000343286880056533
"521",0.0002010716184189
"522",0.000125568270182325
"523",0.000103203995122241
"524",7.04647980821128e-05
"525",0.000255264296670489
"526",9.59961572572432e-05
"527",9.95631368084927e-05
"528",0.000223023261530528
"529",0.000147673297543178
"530",0.000113887726602601
"531",0.000264478323213268
"532",0.000810132901914315
"533",0.000260829854150821
"534",0.000415754750125377
"535",0.000459001333607337
"536",0.000288167573745483
"537",0.000194254977441086
"538",0.0001159596242551
"539",0.000441035317652299
"540",0.000365011228227075
"541",0.00019893038257933
"542",0.000249295808813082
"543",0.000218970103223583
"544",0.000131791192662952
"545",0.000473204253541167
"546",0.00034255864013101
"547",0.00121040603191259
"548",0.000345772360657009
"549",0.000218313644081297
"550",0.000237479450390623
"551",7.94913937670549e-05
"552",0.000300110802660622
"553",0.000401649349068043
"554",8.12686965407309e-05
"555",0.000289015773383666
"556",0.000297404353811967
"557",0.000161898277913363
"558",0.00018601214216224
"559",0.000545677232858378
"560",0.000391705116741977
"561",0.000297706615315871
"562",0.000422405379341946
"563",0.000139229989638535
"564",0.000141399618662936
"565",6.19319514393569e-05
"566",0.0006588691179284
"567",0.000170052801807747
"568",0.000460724173147664
"569",0.000793833826821247
"570",0.00127093198712468
"571",0.000305676083786823
"572",0.00021096745876963
"573",0.00121699169231008
"574",0.000271005961905101
"575",0.00145864955548928
"576",0.000391604647152061
"577",0.000401645883631293
"578",0.000165628058398241
"579",0.000170449136569623
"580",0.000217980485690205
"581",0.000479364425192329
"582",0.000186947687596949
"583",0.00033873659892994
"584",0.000489311936884037
"585",0.000371862226023763
"586",0.000604150646492443
"587",0.000322856239980238
"588",0.000433821458900609
"589",0.000143989795364947
"590",0.000141650536927578
"591",0.000318302698480469
"592",0.000141563724846847
"593",0.000244828763403464
"594",0.000146379406956113
"595",0.000327079863643869
"596",0.000679133303636437
"597",0.000123022152696327
"598",0.000722962942309812
"599",0.000308947647929707
"600",0.00022189770859355
"601",0.00125296273749602
"602",0.000395577222356324
"603",0.000148196459858248
"604",0.000822325161958723
"605",0.000271184876981987
"606",0.000480696626609301
"607",0.000353155527876531
"608",0.000395627354757122
"609",0.000419557438555008
"610",0.00069050479631886
"611",0.000289941226938074
"612",0.000527793253067228
"613",0.000679565240187037
"614",0.00121170289082928
"615",0.000513913919872582
"616",0.000237371111038825
"617",0.000203901342954522
"618",0.000389072037162299
"619",0.00168541730125096
"620",8.08469749085748e-05
"621",9.28428765355337e-05
"622",0.000658704074507623
"623",0.000274150779969712
"624",0.000202794850470173
"625",0.000176240167090654
"626",0.000460985421386553
"627",0.00033789914297144
"628",0.000213676320211861
"629",0.000181228731829483
"630",0.000397807110343716
"631",0.000169620604867698
"632",0.000328732852751072
"633",0.000564785308404597
"634",0.000421057395736976
"635",0.000210761312076069
"636",0.000711033901316615
"637",0.000500316858474687
"638",0.000403060956880619
"639",0.000298201210210888
"640",8.25759352524759e-05
