"","CODE","SEC_NAME","IPO_DATE","EXCH_CITY","MKT","TRADE_CODE","COMPINDEX2","CONCEPT","SHSC","INDUSTRY_GICS","INDUSTRY_GICSCODE","INDEXCODE_WIND","INDUSTRY_SW","INDUSTRY_SWCODE","INDEXCODE_SW","INDUSTRY_CITIC","INDUSTRY_CITICCODE","TOTAL_SHARES","FLOAT_A_SHARES","HOLDER_TOP10PCT","HOLDER_CONTROLLER","HOLDER_TOTALBYINST","HOLDER_TOTALBYFUND","HOLDER_TOTALBYBYSEC","HOLDER_NUM","HOLDER_AVGNUM","HOLDER_AVGPCT","HOLDER_HAVGPCTCHANGE","HOLDER_QAVGPCTCHANGE","CLOSE","PCT_CHG_PER"
"2449","600861.SH","北京城乡",34474,"上海","主板","600861","否","超涨","否","日常消费","30",NA,"商业贸易","6120000000000000","801200.SI","商贸零售","b10e000000000000",316804949,316804949,NA,"北京市国有资产监督管理委员会",131474882,3742177,NA,33976,9324.37452907935,0.0294325407594442,12.538262302802,11.2903225806452,15.43,9.74395448079659
"2450","600862.SH","南通科技",34474,"上海","主板","600862","否","借壳上市;重组;新材料;通用航空;超涨;并购阶段(需定增)","否","工业","20",NA,"机械设备","6107000000000000","801890.SI","国防军工","b10c000000000000",637928488,637928488,NA,"南通市国有资产监督管理委员会",269888374,28600302,NA,44289,14403.7681591366,0.0225789695978165,5.94730068414278,3.25588746641379,21.93,19.5747001090513
"2451","600863.SH","内蒙华电",34474,"上海","主板","600863","否","CDM项目;央企;沪股通50;国家队;融资融券标的;大盘蓝筹","是","公用事业","55",NA,"公用事业","6116000000000000","801160.SI","电力及公用事业","b104000000000000",5807745000,5807745000,NA,"国务院国有资产监督管理委员会",741300845,160332858,NA,156861,16824.4777733152,0.00637507112696767,-34.1353172554045,-11.5471659622213,4.97,2.89855072463767
"2452","600864.SH","哈投股份",34555,"上海","主板","600864","否","参股金融;国家队;证金概念;超跌;预增","是","公用事业","55",NA,"公用事业","6116000000000000","801160.SI","电力及公用事业","b104000000000000",546378196,546378196,NA,"哈尔滨市人民政府国有资产监督管理委员会",244059277,1466924,NA,38794,14084.0902201371,0.025777181610465,43.5608599267928,36.9902562251895,10.88,0
"2453","600865.SH","百大集团",34555,"上海","主板","600865","否","民营医院;超涨","否","可选消费","25",NA,"商业贸易","6120000000000000","801200.SI","商贸零售","b10e000000000000",376240316,376240316,NA,"陈夏鑫",156706779,3677928,NA,22078,17041.4129903071,0.0452939569950104,32.6388259806142,5.14992300027175,15.87,-7.24722384570426
"2454","600866.SH","星湖科技",34564,"上海","主板","600866","否","广东国资改革","否","日常消费","30",NA,"食品饮料","6112000000000000","801120.SI","食品饮料","b10j000000000000",645393465,550393465,NA,"广东省人民政府",139556668,4978932,NA,51647,10656.833213933,0.0193622093647718,14.2021801847155,3.60137084438592,8.9,6.97115384615383
"2455","600867.SH","通化东宝",34570,"上海","主板","600867","否","融资融券标的;大盘蓝筹;超涨;预增;并购阶段(需定增)","是","医疗保健","35",NA,"医药生物","6115000000000000","801150.SI","医药","b10i000000000000",1135831101,1131596101,NA,"王殿铎;李一奎",486466988,78269698,4516816,67457,15188.9430007264,0.0148242581635714,-27.7999318084113,-31.72243058541,25.48,-1.20201628538193
"2456","600868.SH","梅雁吉祥",34589,"上海","主板","600868","否","涉矿;国家队;证金概念;融资融券标的;超涨","否","公用事业","55",NA,"公用事业","6116000000000000","801160.SI","电力及公用事业","b104000000000000",1898148679,1898148679,NA,"NaN",51309634,100134,NA,250712,7571.03241568014,0.00398864038288593,18.1156067519704,13.3116883116883,7.85,-18.9886480908153
"2457","600869.SH","智慧能源",34736,"上海","主板","600869","否","智能交通;高送转概念;能源互联网;质押式回购;证金概念;超涨;预增;高送转;并购阶段(需定增)","是","工业","20",NA,"电气设备","6107010000000000","801730.SI","电力设备","b10b000000000000",1980086736,1980086736,NA,"蒋锡培",780940507,4921269,NA,26673,37117.8108199303,0.0374910943210125,-24.8790912158362,-12.4582911558505,10.71,9.06313645621182
"2458","600870.SH","*ST厦华",34758,"上海","主板","600870","否","第三方支付;ST概念;*ST;超涨;并购阶段(需定增)","否","可选消费","25",NA,"家用电器","6111000000000000","801110.SI","家电","b10g000000000000",523199665,370818715,NA,"王玲玲",87516718,NA,2359001,28608,12962.063583613,0.0349552556872368,0.125838926174504,-6.6624720357942,8.12,29.5055821371611
"2459","600871.SH","石化油服",34800,"上海","主板","600871","否","央企;油气改革;大央企重组;含H股的A股;超涨","是","能源","10",NA,"采掘","6102000000000000","801020.SI","基础化工","b106000000000000",14142660995,4.5e+08,NA,"国务院国有资产监督管理委员会",NA,NA,NA,31424,14519.8760970573,0.0322663895785809,16.9140423335054,15.5717604543108,9.77,0.102459016393452
"2460","600872.SH","中炬高新",34723,"上海","主板","600872","否","新三板;举牌;融资融券标的","是","日常消费","30",NA,"食品饮料","6112000000000000","801120.SI","食品饮料","b10j000000000000",796637194,796637194,NA,"中山火炬高技术产业开发区管理委员会",312126237,174829205,NA,60256,13220.8774893787,0.0165958572179079,7.84154275092939,-2.3350371747212,14.95,4.10863509749302
"2461","600873.SH","梅花生物",34747,"上海","主板","600873","否","员工持股;西藏振兴;国家队;证金概念;融资融券标的;社保重仓;超涨;预增","是","日常消费","30",NA,"食品饮料","6112000000000000","801120.SI","食品饮料","b10j000000000000",3108226603,3108226603,NA,"杨维永;王爱军;王洪山;何君;杨维英;蔡文强;孟庆山",509278433,111359314,NA,66086,47033.0569712193,0.0151317976415157,-7.17549859274279,-6.96819296068759,8.16,8.9452603471295
"2462","600874.SH","创业环保",34880,"上海","主板","600874","否","环保概念;污水处理;天津自贸区;海绵城市;融资融券标的;含H股的A股;超涨","是","公用事业","55",NA,"公用事业","6116000000000000","801160.SI","电力及公用事业","b104000000000000",1427228430,1087228430,NA,"天津市国有资产监督管理委员会",726949964,8384778,NA,80845,13461.4618775227,0.0123814474791288,21.2156105291831,11.0058688061808,11.73,-0.0851788756388361
"2463","600875.SH","东方电气",34982,"上海","主板","600875","否","新能源;风力发电;核能核电;央企;大央企重组;融资融券标的;含H股的A股;超跌;预减","是","工业","20",NA,"电气设备","6107010000000000","801730.SI","电力设备","b10b000000000000",2336900368,1996900368,NA,"国务院国有资产监督管理委员会",1069841969,57361061,NA,115567,14397.3625688994,0.00865298882126808,10.3853176079677,8.06631650903806,14.76,-2.18687872763421
"2464","600876.SH","洛阳玻璃",35003,"上海","主板","600876","否","重组;央企;国资改革;含H股的A股;超涨;并购阶段(需定增)","是","信息技术","45",NA,"建筑材料","6106010000000000","801710.SI","建材","b108000000000000",500018242,250018242,NA,"国务院国有资产监督管理委员会",160908395,NA,NA,17681,14186.2370630958,0.0567408092319965,1.44121652292328,1.1745347253745,34.96,-22.1207395856538
"2465","600877.SH","中国嘉陵",34985,"上海","主板","600877","否","央企;融资融券标的;超涨","否","可选消费","25",NA,"汽车","1000012588000000","801880.SI","汽车","b10d000000000000",687282040,687282040,NA,"国务院国有资产监督管理委员会",160536173,NA,NA,64486,10657.8488354061,0.0155072417110205,18.2024005210433,17.6115746053407,9.39,11.2559241706161
"2466","600879.SH","航天电子",35018,"上海","主板","600879","否","央企;卫星导航;高端装备制造;航母;融资融券标的;超涨;并购阶段(需定增)","是","工业","20",NA,"国防军工","1000012579000000","801740.SI","国防军工","b10c000000000000",1039537037,1039537037,NA,"国务院国有资产监督管理委员会",392808542,127362642,NA,113496,9159.23941812927,0.00881088338792324,-12.112321139071,5.04599281031932,20.3,15.014164305949
"2467","600880.SH","博瑞传播",35018,"上海","主板","600880","否","网络游戏;文化传媒概念(Wind);国家队;证金概念;融资融券标的;超跌;预减","是","可选消费","25",NA,"传媒","6122010000000000","801760.SI","传媒","b10s000000000000",1093332092,733365115,NA,"成都商报社",65539438,19277520,NA,81235,9027.69883670831,0.0123099647462368,-16.191296854804,0.797685726595665,7.5,0
"2468","600881.SH","亚泰集团",35018,"上海","主板","600881","否","参股金融;长吉图板块;抗癌;涉矿;中朝经济特区;体育;融资融券标的;券商重仓;超涨;预减","是","材料","15",NA,"建筑材料","6106010000000000","801710.SI","建材","b108000000000000",2599945737,1894732058,NA,"长春市人民政府国有资产监督管理委员会",516686374,27197535,NA,180778,10480.9880516435,0.0055316467769444,5.90392636272112,-0.477381097257412,8.12,12.1546961325967
"2469","600882.SH","华联矿业",35039,"上海","主板","600882","否","质押式回购;预减;并购阶段(需定增)","否","材料","15",NA,"采掘","6102000000000000","801020.SI","钢铁","b105000000000000",399238045,399238045,NA,"柴琇",79021361,383218,NA,30525,9241.5658968059,0.0327600315213203,-13.6183456183456,3.08271908271909,13.42,0
"2470","600883.SH","博闻科技",35041,"上海","主板","600883","否","质押式回购;超涨","否","材料","15",NA,"综合","6123000000000000","801230.SI","建材","b108000000000000",236088000,236088000,NA,"王绥义",123830576,11332271,NA,14082,16765.2322113336,0.0710126385092735,19.6776026132652,13.4710978554183,15.84,12.3404255319149
