"","ErrorCode","Data.DATETIME","Data.CLOSE","Data.AMT","Code"
"1",0,2001-01-02,NA,NA,"000300.SH"
"2",0,2001-01-03,NA,NA,"000300.SH"
"3",0,2001-01-04,NA,NA,"000300.SH"
"4",0,2001-01-05,NA,NA,"000300.SH"
"5",0,2001-01-08,NA,NA,"000300.SH"
"6",0,2001-01-09,NA,NA,"000300.SH"
"7",0,2001-01-10,NA,NA,"000300.SH"
"8",0,2001-01-11,NA,NA,"000300.SH"
"9",0,2001-01-12,NA,NA,"000300.SH"
"10",0,2001-01-15,NA,NA,"000300.SH"
"11",0,2001-01-16,NA,NA,"000300.SH"
"12",0,2001-01-17,NA,NA,"000300.SH"
"13",0,2001-01-18,NA,NA,"000300.SH"
"14",0,2001-01-19,NA,NA,"000300.SH"
"15",0,2001-02-05,NA,NA,"000300.SH"
"16",0,2001-02-06,NA,NA,"000300.SH"
"17",0,2001-02-07,NA,NA,"000300.SH"
"18",0,2001-02-08,NA,NA,"000300.SH"
"19",0,2001-02-09,NA,NA,"000300.SH"
"20",0,2001-02-12,NA,NA,"000300.SH"
"21",0,2001-02-13,NA,NA,"000300.SH"
"22",0,2001-02-14,NA,NA,"000300.SH"
"23",0,2001-02-15,NA,NA,"000300.SH"
"24",0,2001-02-16,NA,NA,"000300.SH"
"25",0,2001-02-19,NA,NA,"000300.SH"
"26",0,2001-02-20,NA,NA,"000300.SH"
"27",0,2001-02-21,NA,NA,"000300.SH"
"28",0,2001-02-22,NA,NA,"000300.SH"
"29",0,2001-02-23,NA,NA,"000300.SH"
"30",0,2001-02-26,NA,NA,"000300.SH"
"31",0,2001-02-27,NA,NA,"000300.SH"
"32",0,2001-02-28,NA,NA,"000300.SH"
"33",0,2001-03-01,NA,NA,"000300.SH"
"34",0,2001-03-02,NA,NA,"000300.SH"
"35",0,2001-03-05,NA,NA,"000300.SH"
"36",0,2001-03-06,NA,NA,"000300.SH"
"37",0,2001-03-07,NA,NA,"000300.SH"
"38",0,2001-03-08,NA,NA,"000300.SH"
"39",0,2001-03-09,NA,NA,"000300.SH"
"40",0,2001-03-12,NA,NA,"000300.SH"
"41",0,2001-03-13,NA,NA,"000300.SH"
"42",0,2001-03-14,NA,NA,"000300.SH"
"43",0,2001-03-15,NA,NA,"000300.SH"
"44",0,2001-03-16,NA,NA,"000300.SH"
"45",0,2001-03-19,NA,NA,"000300.SH"
"46",0,2001-03-20,NA,NA,"000300.SH"
"47",0,2001-03-21,NA,NA,"000300.SH"
"48",0,2001-03-22,NA,NA,"000300.SH"
"49",0,2001-03-23,NA,NA,"000300.SH"
"50",0,2001-03-26,NA,NA,"000300.SH"
"51",0,2001-03-27,NA,NA,"000300.SH"
"52",0,2001-03-28,NA,NA,"000300.SH"
"53",0,2001-03-29,NA,NA,"000300.SH"
"54",0,2001-03-30,NA,NA,"000300.SH"
"55",0,2001-04-02,NA,NA,"000300.SH"
"56",0,2001-04-03,NA,NA,"000300.SH"
"57",0,2001-04-04,NA,NA,"000300.SH"
"58",0,2001-04-05,NA,NA,"000300.SH"
"59",0,2001-04-06,NA,NA,"000300.SH"
"60",0,2001-04-09,NA,NA,"000300.SH"
"61",0,2001-04-10,NA,NA,"000300.SH"
"62",0,2001-04-11,NA,NA,"000300.SH"
"63",0,2001-04-12,NA,NA,"000300.SH"
"64",0,2001-04-13,NA,NA,"000300.SH"
"65",0,2001-04-16,NA,NA,"000300.SH"
"66",0,2001-04-17,NA,NA,"000300.SH"
"67",0,2001-04-18,NA,NA,"000300.SH"
"68",0,2001-04-19,NA,NA,"000300.SH"
"69",0,2001-04-20,NA,NA,"000300.SH"
"70",0,2001-04-23,NA,NA,"000300.SH"
"71",0,2001-04-24,NA,NA,"000300.SH"
"72",0,2001-04-25,NA,NA,"000300.SH"
"73",0,2001-04-26,NA,NA,"000300.SH"
"74",0,2001-04-27,NA,NA,"000300.SH"
"75",0,2001-04-30,NA,NA,"000300.SH"
"76",0,2001-05-08,NA,NA,"000300.SH"
"77",0,2001-05-09,NA,NA,"000300.SH"
"78",0,2001-05-10,NA,NA,"000300.SH"
"79",0,2001-05-11,NA,NA,"000300.SH"
"80",0,2001-05-14,NA,NA,"000300.SH"
"81",0,2001-05-15,NA,NA,"000300.SH"
"82",0,2001-05-16,NA,NA,"000300.SH"
"83",0,2001-05-17,NA,NA,"000300.SH"
"84",0,2001-05-18,NA,NA,"000300.SH"
"85",0,2001-05-21,NA,NA,"000300.SH"
"86",0,2001-05-22,NA,NA,"000300.SH"
"87",0,2001-05-23,NA,NA,"000300.SH"
"88",0,2001-05-24,NA,NA,"000300.SH"
"89",0,2001-05-25,NA,NA,"000300.SH"
"90",0,2001-05-28,NA,NA,"000300.SH"
"91",0,2001-05-29,NA,NA,"000300.SH"
"92",0,2001-05-30,NA,NA,"000300.SH"
"93",0,2001-05-31,NA,NA,"000300.SH"
"94",0,2001-06-01,NA,NA,"000300.SH"
"95",0,2001-06-04,NA,NA,"000300.SH"
"96",0,2001-06-05,NA,NA,"000300.SH"
"97",0,2001-06-06,NA,NA,"000300.SH"
"98",0,2001-06-07,NA,NA,"000300.SH"
"99",0,2001-06-08,NA,NA,"000300.SH"
"100",0,2001-06-11,NA,NA,"000300.SH"
"101",0,2001-06-12,NA,NA,"000300.SH"
"102",0,2001-06-13,NA,NA,"000300.SH"
"103",0,2001-06-14,NA,NA,"000300.SH"
"104",0,2001-06-15,NA,NA,"000300.SH"
"105",0,2001-06-18,NA,NA,"000300.SH"
"106",0,2001-06-19,NA,NA,"000300.SH"
"107",0,2001-06-20,NA,NA,"000300.SH"
"108",0,2001-06-21,NA,NA,"000300.SH"
"109",0,2001-06-22,NA,NA,"000300.SH"
"110",0,2001-06-25,NA,NA,"000300.SH"
