"","ErrorCode","Data.CODE","Data.LASTTRADE_DATE","Data.LASTDELIVERY_DATE","Data.DLMONTH","Data.LPRICE","Data.SCCODE","Data.MARGIN","Data.PUNIT","Data.CHANGELT","Data.MFPRICE","Data.CONTRACTMULTIPLIER","Data.CDMONTHS","Data.THOURS","Data.LTDATED","Data.DDATE","Data.FTMARGINS","Data.TRADE_HISCODE","Data.CLOSE","Data.TURN","Data.OI","Data.OI_CHG","Data.PCT_CHG_SETTLEMENT","Data.DISCOUNT_RATIO","Data.DISCOUNT","Data.HIS_CLOSE","Data.HIS_OPEN","Data.HIS_HIGH","Data.HIS_LOW","Data.HIS_SETTLE","Data.HIS_PRESETTLE","Data.HIS_AVGPRICE","Data.HIS_CHANGE","Data.HIS_CHANGE_SETTLEMENT","Data.HIS_PCTCHANGE","Data.HIS_PCTCHANGE_SETTLEMENT","Data.HIS_SWING","Data.HIS_VOLUME","Data.HIS_TURNOVER","Data.HIS_OI","Data.HIS_OICHANGE","Data.ST_STOCK","Data.US_PRECLOSE","Data.US_OPEN","Data.US_HIGH","Data.US_LOW","Data.US_CLOSE","Data.US_AVGPRICE","Data.US_CHANGE","Data.US_PCTCHANGE","Data.US_TURN","Data.US_VOLUME","Data.US_AMOUNT","Data.US_SWING","Data.TBF_CVF2","Data.TBF_CVF","Data.TBF_IRR","Data.TBF_INTEREST","Data.TBF_PAYMENT","Data.TBF_DELIVERPRICE","Data.TBF_INVOICEPRICE","Data.TBF_SPREAD","Data.TBF_BASIS","Data.TBF_CTD","Time"
"522",0,"GNFG17E.CME",42794,0,"201702",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFG17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.5,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"523",0,"GNFH16E.CME",42458,0,"201603",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFH16E.CME",118.25,NA,NA,NA,NA,NA,NA,118.25,120.5,120.5,118,118,NA,NA,0.25,0,0.211864406779661,0,2.11864406779661,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"524",0,"GNFH17E.CME",42829,0,"201703",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFH17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"525",0,"GNFJ16E.CME",42493,0,"201604",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFJ16E.CME",119.65,NA,NA,NA,NA,NA,NA,119.65,121.5,121.525,119.5,119.5,NA,NA,0.150000000000006,0,0.125523012552306,0,1.69456066945607,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"526",0,"GNFJ17E.CME",42857,0,"201704",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFJ17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.6,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"527",0,"GNFK16E.CME",42522,0,"201605",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFK16E.CME",121.5,NA,NA,NA,NA,NA,NA,121.5,124,124.025,121.5,121.5,NA,NA,0,0,0,0,2.07818930041153,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"528",0,"GNFK17E.CME",42886,0,"201705",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFK17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"529",0,"GNFM16E.CME",42549,0,"201606",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFM16E.CME",123.775,NA,NA,NA,NA,NA,NA,123.775,124.85,125.05,123.25,123.75,NA,NA,0.0250000000000057,0,0.0202020202020248,0,1.45454545454545,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"530",0,"GNFM17E.CME",42921,0,"201706",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFM17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.6,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"531",0,"GNFN16E.CME",42584,0,"201607",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFN16E.CME",125.5,NA,NA,NA,NA,NA,NA,125.5,125.5,125.5,125.5,125.5,NA,NA,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
