"","ErrorCode","Data.DATETIME","Data.CLOSE","Data.AMT","Code"
"1",0,2001-01-02,NA,NA,"000016.SH"
"2",0,2001-01-03,NA,NA,"000016.SH"
"3",0,2001-01-04,NA,NA,"000016.SH"
"4",0,2001-01-05,NA,NA,"000016.SH"
"5",0,2001-01-08,NA,NA,"000016.SH"
"6",0,2001-01-09,NA,NA,"000016.SH"
"7",0,2001-01-10,NA,NA,"000016.SH"
"8",0,2001-01-11,NA,NA,"000016.SH"
"9",0,2001-01-12,NA,NA,"000016.SH"
"10",0,2001-01-15,NA,NA,"000016.SH"
"11",0,2001-01-16,NA,NA,"000016.SH"
"12",0,2001-01-17,NA,NA,"000016.SH"
"13",0,2001-01-18,NA,NA,"000016.SH"
"14",0,2001-01-19,NA,NA,"000016.SH"
"15",0,2001-02-05,NA,NA,"000016.SH"
"16",0,2001-02-06,NA,NA,"000016.SH"
"17",0,2001-02-07,NA,NA,"000016.SH"
"18",0,2001-02-08,NA,NA,"000016.SH"
"19",0,2001-02-09,NA,NA,"000016.SH"
"20",0,2001-02-12,NA,NA,"000016.SH"
"21",0,2001-02-13,NA,NA,"000016.SH"
"22",0,2001-02-14,NA,NA,"000016.SH"
"23",0,2001-02-15,NA,NA,"000016.SH"
"24",0,2001-02-16,NA,NA,"000016.SH"
"25",0,2001-02-19,NA,NA,"000016.SH"
"26",0,2001-02-20,NA,NA,"000016.SH"
"27",0,2001-02-21,NA,NA,"000016.SH"
"28",0,2001-02-22,NA,NA,"000016.SH"
"29",0,2001-02-23,NA,NA,"000016.SH"
"30",0,2001-02-26,NA,NA,"000016.SH"
"31",0,2001-02-27,NA,NA,"000016.SH"
"32",0,2001-02-28,NA,NA,"000016.SH"
"33",0,2001-03-01,NA,NA,"000016.SH"
"34",0,2001-03-02,NA,NA,"000016.SH"
"35",0,2001-03-05,NA,NA,"000016.SH"
"36",0,2001-03-06,NA,NA,"000016.SH"
"37",0,2001-03-07,NA,NA,"000016.SH"
"38",0,2001-03-08,NA,NA,"000016.SH"
