"","x"
"1",0.00460376039534815
"2",0.00355490861969053
"3",0.000512254303445317
"4",0.000667731072069215
"5",0.000473371926296035
"6",0.000828802046145214
"7",0.000865301214398405
"8",0.00146629717682874
"9",0.000514614359493804
"10",0.000711904355906202
"11",0.000545991549653606
"12",0.00132721849906947
"13",0.00233952598544774
"14",0.00393320075153446
"15",0.00247936047466108
"16",0.00128654006068087
"17",0.000433560209416473
"18",0.000961676467944707
"19",0.00028888509103512
"20",0.00021042886291476
"21",0.000759780588944569
"22",0.00108890057499397
"23",0.000362042241404438
"24",0.000335066272440645
"25",0.000738181874949786
"26",0.00127810679166652
"27",0.00045116923121155
"28",0.000324625886413735
"29",0.000287782055720666
"30",0.00150026530641218
"31",0.00276371713124982
"32",0.0012304398345021
"33",0.00193553780211178
"34",0.000399218544543819
"35",0.000629710490174809
"36",0.000374926720659078
"37",0.00341649540515682
"38",0.000854605944669579
"39",0.0113103615930694
"40",0.000631941467167433
"41",0.000906853972007876
"42",0.000316819889687502
"43",0.00089080068643838
"44",0.0024520550480117
"45",0.00117221984575747
"46",0.000326349079245337
"47",0.00152587036425307
"48",0.00051174009433691
"49",0.00052364173810651
"50",0.000610870845945967
"51",0.00183274537424444
"52",0.000504475498445174
"53",0.00122133739542566
"54",0.000220545351993512
"55",0.000670556559877551
"56",0.000455720755443303
"57",0.00106204121967783
"58",0.00232777103279244
"59",0.000611478416756635
"60",0.00113690483208282
"61",0.000370400643002701
"62",0.000375747687945685
"63",0.000165296081122584
"64",0.000277601339046802
"65",0.00101388623356144
"66",0.000314957233445446
"67",0.000350355414941446
"68",0.000187032538151556
"69",0.00237546515980422
"70",0.00022036388720685
"71",0.000228797557760304
"72",0.00026337755925595
"73",0.000566982798370434
"74",0.000447303967549931
"75",0.00022709357960434
"76",0.000382234337862079
"77",0.000525854859800666
"78",0.00125474344137163
"79",0.00123038424064119
"80",0.000364172811742728
"81",0.000880149581506373
"82",0.000491123501229132
"83",0.000357427715430121
"84",0.000484867475038804
"85",0.000324549110399928
"86",0.000360355604718459
"87",0.000308185762963527
"88",0.00029734724576865
"89",0.000803552577884426
"90",0.000257461209728313
"91",0.000228247795388792
"92",0.00130922597364827
"93",0.000463314348923733
"94",0.000177217288018822
"95",0.000357781636113327
"96",0.000810389933597239
"97",0.000328991797264927
"98",0.000796643283288307
"99",0.00036244759770228
"100",0.00600168122486679
"101",0.00324763404643941
"102",0.000619991318568199
"103",0.0104762895447225
"104",0.0046397017810654
"105",0.00343804092487291
"106",0.0117390177793668
"107",0.00529892891902967
"108",0.00270923798502888
"109",0.0389541865767675
"110",0.00315876365459731
"111",0.0038985677266073
"112",0.00245058028401225
"113",0.00811438635040582
"114",0.000375912679333274
"115",0.00346045817471921
"116",0.00681992170704761
"117",0.00034488306470232
"118",0.000183940927729136
"119",0.000712326256709
"120",0.00148156906151354
"121",0.000441265174657494
"122",0.00104537027301899
"123",0.000363276469002981
"124",0.000953622856082152
"125",0.00354743279460442
