"","x"
"1",0.0577498115599155
"2",0.458562791347504
"3",-0.420152336359024
"4",0.0315206311643124
"5",0.175881966948509
"6",-1.87068605422974
"7",3.80532622337341
"8",0.703372180461884
"9",-0.722844421863556
"10",-0.944242596626282
"11",1.67195641994476
"12",0.595621764659882
"13",-0.536213994026184
"14",0.406561970710754
"15",-0.947321832180023
"16",-0.429037988185883
"17",3.11816358566284
"18",0.905137240886688
"19",0.48003152012825
"20",-0.0680251643061638
"21",2.10065054893494
"22",0.171470820903778
"23",0.860507965087891
"24",0.15041446685791
"25",-0.575464606285095
"26",0.429549217224121
"27",-1.23583686351776
"28",-1.89463198184967
"29",0.634084105491638
"30",-3.40726733207703
"31",-0.534178853034973
"32",0.321804940700531
"33",-1.43437898159027
"34",1.05476140975952
"35",3.03120589256287
"36",-0.167992919683456
"37",-4.61328458786011
"38",3.0283043384552
"39",1.04449164867401
"40",-1.15927016735077
"41",-0.479179263114929
"42",-0.558320224285126
"43",-1.41789066791534
"44",-1.10067439079285
"45",0.268527686595917
"46",0.220970675349236
"47",-1.47172713279724
"48",0.90325927734375
"49",3.36925673484802
"50",0.184432148933411
"51",0.126960426568985
"52",-0.199021652340889
"53",-1.45601177215576
"54",0.329313993453979
"55",-3.26019048690796
"56",-0.168807134032249
"57",-0.0759894549846649
"58",-0.272582828998566
"59",-0.114382654428482
"60",-0.452900618314743
"61",0.692917823791504
"62",-0.165539905428886
"63",-0.29907751083374
"64",-0.636190056800842
"65",-1.02732932567596
"66",0.934579432010651
"67",-0.0454953499138355
"68",0.259429335594177
"69",2.79838418960571
"70",-0.124594144523144
"71",-3.20859694480896
"72",1.88236558437347
"73",-1.11012315750122
"74",-0.833470106124878
"75",0.0953293144702911
"76",1.76650524139404
"77",1.32660114765167
"78",0.156572714447975
"79",0.508312880992889
"80",-0.59005868434906
"81",0.515943944454193
"82",-0.396247535943985
"83",-1.47899770736694
"84",0.544932126998901
"85",1.82630109786987
"86",1.54106867313385
"87",0.677417993545532
"88",0.201026439666748
"89",0.121651194989681
"90",-1.3439474105835
"91",0.556710839271545
"92",0.0908276066184044
"93",1.72227358818054
"94",-0.0679937899112701
"95",-0.311743050813675
"96",-1.05898177623749
"97",-0.145908609032631
"98",-1.41999053955078
"99",-0.199831157922745
"100",-1.27684056758881
"101",-1.72815179824829
"102",-3.39040160179138
"103",0.701435089111328
"104",-0.535094141960144
"105",0.620091438293457
"106",-0.743360698223114
"107",-3.30307221412659
"108",-0.175406396389008
"109",-6.3081202507019
"110",-0.2666255235672
"111",0.132814824581146
"112",-0.348752975463867
"113",1.8467789888382
"114",0.576105415821075
"115",0.39158421754837
"116",-0.817107617855072
"117",0.8236123919487
"118",0.219173982739449
"119",-2.83943819999695
"120",-0.0439079143106937
"121",2.83889961242676
"122",4.61420869827271
"123",-2.20549559593201
"124",1.40302276611328
"125",0.457288324832916
"126",-1.51053905487061
"127",-1.64304399490356
"128",-2.44285011291504
"129",0.53463214635849
"130",2.89057850837708
"131",-0.736767053604126
"132",-0.509881258010864
"133",-0.611123204231262
"134",-2.15997433662415
"135",0.616644501686096
"136",0.165936782956123
"137",2.38679885864258
"138",0.0845742598176003
"139",1.38239276409149
"140",0.672071516513824
"141",-0.567569196224213
"142",-0.168418899178505
"143",0.405308902263641
"144",2.92142200469971
"145",0.266661673784256
"146",-0.42338752746582
"147",-1.17084133625031
"148",-0.75086921453476
"149",1.18421423435211
"150",-0.813449263572693
"151",-0.167613342404366
"152",-0.201724946498871
"153",-0.737999200820923
"154",2.12892484664917
"155",0.225422322750092
"156",-0.547870635986328
"157",-0.41858959197998
"158",-0.189836487174034
"159",0.278057485818863
"160",1.47210931777954
"161",-0.16152036190033
